dataset_label,papers_per_year,n_pub_years,share,point_size_mm,crowded,stagger,nudge_x,nudge_y
EdShare,18.31,54,0.0495,10.854408404799491,FALSE,0,0,4
EdShare (<=2014),20.56,43,0.06,9.685978619539783,FALSE,0,0,4
ADNI,253.9,21,0.0737,6.768912897813195,FALSE,0,0,12
ABCD,196.3,10,0.0779,4.670993664969138,FALSE,0,0,12
HRS,145.38,32,0.0899,8.355727485873498,FALSE,0,0,4
AddHealth,88.8,30,0.0995,8.090398349558905,FALSE,0,0,4
FFCWS,58.72,29,0.1316,7.954415583355402,FALSE,0,0,4
NHATS,77.47,7,0.1523,3.908033683673578,FALSE,0,0,4
MIDUS,79.1,29,0.1857,7.954415583355402,FALSE,0,0,4
WLS,14.57,66,0.2107,12,FALSE,0,0,4
EdShare (>=2015),9.55,11,0.2571,4.898979485566356,FALSE,0,0,4
ALSPAC,82.83,35,0.2626,8.738628975053029,FALSE,0,0,4
WHI,96.31,36,0.2781,8.862587350511957,FALSE,0,0,4
MESA,75.08,25,0.2952,7.385489458759965,FALSE,0,0,4
Framingham,59.51,65,0.3544,11.908743922772956,FALSE,0,0,4
NHS,70.41,42,0.4186,9.572688422609588,FALSE,0,0,4
ARIC,87.44,39,0.4818,9.224473377429689,TRUE,-6.5,0.07200000000000001,-40.5
SWAN,25.25,28,0.5276,7.816067367347156,TRUE,-5.5,0.064,-35.5
NIH AARP,16.39,25,0.5468,7.385489458759965,TRUE,-4.5,0.05600000000000001,-30.5
CARDIA,34.97,39,0.5513,9.224473377429689,TRUE,-3.5,0.048,-25.5
JHS,23.46,26,0.5708,7.531750973530174,TRUE,-2.5,0.04,-20.5
CHS,36.59,40,0.582,9.341987329938275,TRUE,-1.5,0.032,-15.5
BLSA,17.1,48,0.6577,10.233634385069301,TRUE,-0.5,0.024,-10.5
StrongHeart,10.03,36,0.6765,8.862587350511957,TRUE,0.5,0.024,-5.5
HPFS,37.41,36,0.6893,8.862587350511957,TRUE,1.5,0.032,-0.5
SHOW,7.24,16,0.7398,5.908391567007971,TRUE,2.5,0.04,4.5
REGARDS,34.35,24,0.7492,7.236272269866327,TRUE,3.5,0.048,9.5
HCHS SOL,37.76,16,0.7897,5.908391567007971,TRUE,4.5,0.05600000000000001,14.5
PROSPER,9.56,27,0.8031,7.675225788801976,TRUE,5.5,0.064,19.5
Sister,19.65,19,0.9338,6.438520439863918,TRUE,6.5,0.07200000000000001,24.5
